0,0.357727,3.704089,9.134601,9.863527,0.358,3.704,9.135,9.864
0.017,0.352941,3.617948,9.397811,10.076356,0.357,3.683,9.2,9.917
0.037,0.314656,3.63709,9.416953,10.099824,0.346,3.666,9.271,9.976
0.056,0.324227,3.699304,9.302098,10.015937,0.337,3.665,9.313,10.014
0.076,0.367298,3.742375,9.206385,9.944737,0.34,3.674,9.331,10.034
0.093,0.400798,3.790231,9.196814,9.955294,0.352,3.717,9.281,10.004
0.113,0.410369,3.766303,9.201599,9.951023,0.376,3.75,9.227,9.967
0.132,0.415155,3.728018,9.230313,9.96339,0.398,3.757,9.209,9.954
0.158,0.37687,3.675375,9.32124,10.026761,0.401,3.74,9.237,9.974
0.173,0.41994,3.689733,9.282955,9.998186,0.406,3.715,9.259,9.985
0.19,0.443869,3.694518,9.177671,9.90334,0.414,3.697,9.253,9.973
0.209,0.439083,3.684947,9.129815,9.855209,0.42,3.686,9.228,9.946
0.228,0.338584,3.67059,9.206385,9.916924,0.41,3.685,9.199,9.918
0.247,0.381655,3.665804,9.27817,9.983397,0.401,3.679,9.198,9.915
0.266,0.467797,3.63709,9.349955,10.043352,0.407,3.665,9.241,9.95
0.285,0.486939,3.617948,9.349955,10.037346,0.419,3.648,9.296,9.995
0.304,0.439083,3.656233,9.273384,9.9778,0.444,3.644,9.313,10.01
0.323,0.396012,3.708875,9.235099,9.959901,0.447,3.655,9.302,10.005
0.343,0.396012,3.723232,9.206385,9.938652,0.43,3.677,9.266,9.978
0.362,0.391227,3.718446,9.177671,9.910073,0.406,3.702,9.223,9.947
0.382,0.338584,3.675375,9.225528,9.936467,0.38,3.706,9.211,9.936
0.4,0.391227,3.665804,9.268599,9.974873,0.379,3.696,9.22,9.94
0.42,0.405583,3.627519,9.297313,9.988164,0.382,3.672,9.242,9.952
0.438,0.410369,3.613162,9.282955,9.969784,0.386,3.645,9.269,9.967
0.459,0.443869,3.622734,9.206385,9.903471,0.413,3.632,9.264,9.959
0.477,0.45344,3.579663,8.957532,9.656965,0.428,3.611,9.186,9.88
0.496,0.482154,3.570091,9.101101,9.78816,0.447,3.596,9.137,9.83
0.516,0.405583,3.680161,8.976674,9.71024,0.446,3.613,9.06,9.765
0.534,0.674178,3.570091,8.833105,9.551116,0.504,3.6,8.967,9.677
0.553,0.611366,3.522235,8.962317,9.648992,0.543,3.586,8.968,9.675
0.574,0.467797,3.603591,9.105886,9.804176,0.54,3.594,8.969,9.679
0.592,-0.087338,3.89073,9.134601,9.929065,0.417,3.647,9.009,9.733
0.611,0.257228,3.723232,9.053245,9.792337,0.312,3.685,9.064,9.794
0.636,0.458226,3.742375,8.967103,9.727501,0.274,3.74,9.065,9.813
0.65,0.348156,3.723232,8.995817,9.742094,0.244,3.77,9.038,9.798
0.669,0.262014,3.818945,8.914461,9.701578,0.331,3.752,8.983,9.741
0.688,0.319442,3.871587,8.842676,9.658372,0.347,3.789,8.93,9.707
0.706,0.300299,3.751946,9.062816,9.813354,0.307,3.791,8.954,9.729
0.728,0.2333,3.63709,9.268599,9.959406,0.279,3.77,9.022,9.783
0.746,0.151944,3.541378,9.282955,9.936685,0.251,3.701,9.114,9.842
0.765,0.228515,3.407379,9.1681,9.783482,0.229,3.584,9.196,9.873
0.784,0.247657,3.412165,9.05803,9.682568,0.215,3.5,9.194,9.841
0.803,0.467797,3.282953,8.991031,9.583071,0.274,3.411,9.125,9.746
