0,-0.163908,1.676172,9.081959,9.236795,-0.164,1.676,9.082,9.237
0.014,-0.132802,1.508675,9.963116,10.077569,-0.156,1.634,9.302,9.447
0.032,-0.290728,1.506282,10.281361,10.395181,-0.188,1.592,9.602,9.737
0.053,-0.302692,1.590031,10.010972,10.140975,-0.223,1.57,9.834,9.963
0.072,-0.068195,1.491925,9.711869,9.826032,-0.199,1.524,9.992,10.11
0.09,0.075374,1.429712,9.680762,9.786057,-0.147,1.504,9.921,10.037
0.11,-0.037089,1.439283,9.850653,9.955314,-0.083,1.488,9.814,9.927
0.129,-0.128016,1.441676,9.994222,10.098479,-0.039,1.451,9.809,9.916
0.149,-0.130409,1.465604,9.90808,10.016739,-0.055,1.444,9.858,9.964
0.168,-0.116052,1.503889,9.841082,9.956005,-0.103,1.463,9.899,10.007
0.187,-0.099302,1.520639,9.860224,9.977285,-0.118,1.483,9.901,10.012
0.205,-0.118445,1.551746,9.893723,10.015374,-0.116,1.51,9.876,9.991
0.225,-0.154337,1.393819,10.020543,10.118193,-0.122,1.493,9.904,10.017
0.245,-0.096909,1.523032,9.836296,9.953981,-0.117,1.497,9.903,10.016
0.262,-0.264407,1.542174,9.771689,9.896167,-0.159,1.503,9.881,9.996
0.281,-0.120838,1.635494,9.843474,9.97915,-0.159,1.524,9.868,9.987
0.3,-0.125623,1.625923,9.862617,9.99653,-0.152,1.582,9.829,9.956
0.319,-0.185444,1.647458,9.960723,10.097748,-0.174,1.613,9.86,9.992
0.339,-0.223729,1.580459,9.778868,9.908287,-0.164,1.622,9.861,9.995
0.358,-0.111266,1.525424,9.960723,10.077465,-0.162,1.595,9.891,10.02
0.377,-0.08016,1.484746,10.013365,10.12316,-0.15,1.56,9.928,10.052
0.396,0.022732,1.523032,9.88176,9.998466,-0.098,1.528,9.909,10.027
0.416,0.020339,1.542174,9.776475,9.897382,-0.037,1.519,9.908,10.024
0.437,-0.159123,1.570888,9.800404,9.926778,-0.049,1.53,9.868,9.986
0.454,-0.285942,1.585245,9.833903,9.96496,-0.1,1.555,9.823,9.947
0.474,-0.259621,1.542174,9.857831,9.981109,-0.171,1.56,9.817,9.943
0.492,-0.015553,1.372284,9.841082,9.936312,-0.18,1.518,9.833,9.952
0.512,0.309871,1.185644,9.872188,9.947958,-0.063,1.421,9.851,9.958
0.531,0.541974,1.133002,9.807582,9.887674,0.144,1.308,9.845,9.938
0.55,0.43669,1.25025,9.800404,9.889476,0.318,1.235,9.83,9.915
0.569,0.317049,1.372284,9.855438,9.955568,0.401,1.235,9.834,9.92
0.588,0.223729,1.458425,9.731011,9.842238,0.38,1.303,9.799,9.894
0.606,-0.015553,1.527817,9.719048,9.838412,0.24,1.402,9.776,9.881
0.626,-0.130409,1.456033,9.886545,9.994039,0.099,1.454,9.798,9.908
0.645,-0.025125,1.348356,9.920045,10.011293,0.013,1.448,9.814,9.921
0.665,0.159123,1.34357,9.922438,10.014253,-0.003,1.419,9.862,9.965
0.685,0.12323,1.451247,9.821939,9.929339,0.032,1.4,9.888,9.987
0.704,-0.116052,1.621137,9.783653,9.917733,0.035,1.441,9.862,9.968
0.722,-0.369691,1.75035,9.841082,10.002364,-0.051,1.542,9.842,9.966
0.741,-0.407976,1.84367,9.905687,10.084057,-0.193,1.667,9.838,9.983
0.76,-0.214158,1.939981,9.958329,10.147793,-0.277,1.789,9.872,10.038
0.779,-0.206979,2.1338,9.766904,9.999417,-0.3,1.917,9.868,10.058
0.799,-0.393619,2.251048,9.62812,9.895598,-0.306,2.042,9.815,10.032
0.819,-0.521037,2.198406,9.766904,10.024813,-0.334,2.131,9.78,10.017
0.836,-0.369691,2.08355,9.977472,10.199402,-0.373,2.167,9.785,10.03
0.856,-0.168694,1.995016,9.996614,10.195139,-0.363,2.132,9.842,10.079
0.875,0.003589,1.971088,9.778868,9.975543,-0.264,2.062,9.88,10.099
0.895,-0.118445,1.961516,9.580264,9.779726,-0.163,2.003,9.833,10.037
0.913,-0.309871,1.86042,9.54138,9.726002,-0.148,1.947,9.724,9.919
0.933,-0.218943,1.740778,9.948758,10.102279,-0.161,1.883,9.712,9.896
0.952,-0.12323,1.702493,10.025329,10.169606,-0.193,1.816,9.774,9.944
0.971,-0.211765,1.918446,9.905687,10.091973,-0.216,1.806,9.855,10.022
0.992,-0.477966,2.011766,9.714262,9.931895,-0.258,1.843,9.899,10.074
1.009,-0.772283,2.088336,9.548559,9.804721,-0.396,1.93,9.798,10
1.028,-0.683749,2.179263,9.742975,10.007111,-0.536,2.049,9.728,9.959
1.048,-0.427119,2.093122,9.857831,10.086646,-0.59,2.093,9.716,9.958
1.073,-0.221336,2.035694,9.790833,10.002672,-0.526,2.099,9.735,9.975
1.086,-0.240479,1.829313,9.510274,9.687596,-0.393,2.034,9.725,9.946
1.105,-0.391227,1.721636,9.613763,9.774535,-0.32,1.92,9.693,9.888
1.124,-0.497109,1.630709,9.84826,9.994726,-0.338,1.804,9.691,9.865
1.143,-0.364905,1.587638,9.994222,10.126116,-0.373,1.692,9.742,9.896
1.165,-0.21655,1.747957,9.855438,10.011589,-0.367,1.672,9.828,9.977
1.181,-0.273978,1.783849,9.582657,9.751128,-0.338,1.688,9.82,9.971
1.202,-0.384048,1.795813,9.661619,9.834598,-0.31,1.729,9.773,9.931
1.224,-0.388834,1.747957,9.829117,9.9909,-0.316,1.769,9.732,9.897
1.24,-0.460618,1.788635,9.927223,10.097581,-0.377,1.779,9.75,9.919
1.26,-0.54018,1.985445,9.752547,9.967244,-0.443,1.829,9.793,9.973
1.278,-0.700499,2.088336,9.565309,9.815649,-0.523,1.903,9.769,9.968
1.299,-0.769891,2.045265,9.740582,9.982724,-0.618,1.977,9.746,9.966
1.316,-0.65025,2.038087,9.996614,10.222961,-0.665,2.039,9.764,9.997
1.335,-0.487538,2.097907,10.006186,10.235364,-0.652,2.067,9.827,10.064
1.354,-0.415155,2.310869,9.771689,10.049795,-0.581,2.123,9.879,10.123
1.377,-0.573679,2.50708,9.534202,9.874997,-0.532,2.238,9.827,10.096
1.393,-0.628714,2.420938,9.527023,9.849893,-0.526,2.334,9.71,10.003
1.412,-0.357727,2.030908,9.637691,9.855843,-0.494,2.317,9.618,9.908
1.432,0.206979,1.680958,9.812367,9.95746,-0.338,2.16,9.628,9.885
1.454,0.494118,1.511068,9.666406,9.796269,-0.071,1.911,9.661,9.865
1.469,0.369691,1.391426,9.64487,9.751731,0.178,1.654,9.69,9.84
1.488,0.089731,1.286142,9.790833,9.875354,0.29,1.467,9.729,9.845
1.508,-0.075374,1.314856,9.934402,10.021321,0.22,1.376,9.759,9.861
1.53,-0.161516,1.556531,10.008579,10.13018,0.056,1.387,9.845,9.945
1.546,-0.336192,1.805385,9.915258,10.083887,-0.121,1.491,9.912,10.028
1.565,-0.357727,2.018944,9.967901,10.176598,-0.233,1.674,9.957,10.103
